,title,link,content
39,Alan Wake Remastered,/wiki/Alan_Wake," Alan Wake is described by Remedy as ""the mind of a psychological thriller"" and ""the body of a cinematic action game"" put together.[2][3] In interviews, the game's creators hold that the game does not belong squarely in the survival horror video game genre.[4] The game is primarily set in the fictional idyllic small town of Bright Falls, Washington. The main gameplay happens in various areas of Bright Falls – such as the forest, a national park, or a farm – during the night time; these are punctuated by calmer, non-combative sequences set during the day.  The player controls the eponymous protagonist Alan Wake. In the game, a ""darkness"" is taking over humans, animals and objects. These enemies, dubbed the ""Taken"", are murderous shadows that attack Wake, wielding weapons of their own, ranging from mallets and knives to shovels and chainsaws. They vary by speed, size, and the amount of damage they can take, and some can teleport between short distances.[5] Besides the Taken, the player must combat flocks of possessed ravens and animated objects. When enemies are close, Alan can perform a slow-motion cinematic dodge maneuver.  The Taken are protected by a shield of darkness, initially rendering them impervious to attack; they can only be injured with a firearm after exposure to light, which burns the darkness away. This puts significant emphasis on flashlights in conjunction with conventional weapons, such as a revolver or shotgun. Flashlight beams act as a reticle.[5] The handheld lights Wake can carry can be boosted, which destroys the darkness faster, but also reduces the light's battery level. Besides the conventional shooter gameplay need for reloading ammunition, the player must also insert fresh batteries into the flashlight when they run out, or wait for it to recharge slowly. The strength of the darkness protecting an enemy can vary among the Taken. The amount of darkness ""shield"" remaining on an enemy is represented by a corona of light that appears when aiming at an enemy. Instead of traditional health bars, this shield is represented by a circle that decreases in diameter as it weakens. A stronger darkness may recharge over time.[5] When a Taken is finally destroyed, it disappears.  The player is often encouraged to take advantage of environmental light sources and placing, and to use other light-based weapons and accessories, such as flare guns, hand-held flares and flashbangs. Wake can use searchlights to take out massive waves of Taken. Streetlights and other light stands can provide a safe haven, which the Taken cannot enter, and will regenerate the character's health faster. Otherwise, health regenerates slowly with time, when not taking any damage.[5] In certain sections of the game, it is possible to use a car to traverse between locations in Bright Falls. When in a car, the player can run down Taken on the road, or boost the vehicle's headlights to destroy them.  A major element of gameplay is the optional discovery and collection of manuscript pages from Alan Wake's latest novel—Departure. Although Wake does not remember writing this book, its storyline seems to be becoming real around him. These readable manuscript pages are scattered around the game world, out of chronological order; they often describe scenes that have yet to occur and act as warning and instructions for proceeding through upcoming challenges.[6] Other optional collectibles include coffee thermos flasks scattered around the game world (100 in all), as well as discovering television sets which show different episodes of the fictional Night Springs series, radios airing talk and music from Bright Falls' local radio station, and textual signs around the town.[6] The radio shows and signs provide a deeper understanding of the town's history and culture. The game's downloadable content episodes introduce other collectibles such as alarm clocks.[7]   Alan Wake (voiced by Matthew Porretta) is a bestselling crime fiction author suffering from a two-year stretch of writer's block. He and his wife Alice travel to the small mountain town of Bright Falls, Washington for a short vacation on the advice of Alice and Alan's friend and agent Barry Wheeler. Before their arrival, Alan has a nightmare about shadowy figures who try to kill him, before an ethereal figure interrupts the dream and teaches him how to utilize the light to fend off the shadows.  Upon arrival in Bright Falls, Alan goes to retrieve the keys and map to their rented cabin from Carl Stucky, the cabin's landlord, but encounters a mysterious old woman, who tells him that Stucky had fallen ill and she was entrusted to give Alan the keys. The woman directs Alan and Alice to a cabin on an island in the middle of Cauldron Lake, a volcanic crater lake. As they unpack, Alice reveals to Alan that the real purpose of their trip is to help break his writer's block by arranging for him to see a famous Bright Falls psychologist named Dr. Emil Hartman and leaving a typewriter in one of the cabin's rooms for him to work on his next book. Alan is infuriated and storms out of the cabin, but rushes back when he hears Alice crying for help. Alan returns to the cabin just as Alice is being dragged into the lake's waters by a mysterious force. Alan dives into the water after her, blacking out as he submerges.  Alan regains consciousness a week later, apparently having driven his car off the road, but with no memory of how he got there. He attempts to reach a nearby gas station, but his progress is hampered by murderous, shadowy figures resembling those in his dream. While fighting the shadows with light, Alan repeatedly encounters an ethereal figure in a diving suit similar to the one from his dream, which leaves behind pages of a manuscript entitled Departure, ostensibly written by Alan, which he has no memory of writing. Alan soon discovers that the events of the manuscript are coming true, and that the shadowy figures, or ""Taken,"" are townsfolk possessed by a dark force. After killing a possessed Carl Stucky and reaching the gas station, Alan tries to alert Sheriff Sarah Breaker of his wife's disappearance, but Sarah states that there has been no island or cabin in Cauldron Lake for years after it sank following a volcanic eruption years prior. Alan is taken to the police station, and Barry arrives in Bright Falls in search of him.  Alan receives a call from a man purporting to be Alice's kidnapper, demanding the pages of Departure in exchange for her. Meeting at a nearby national park, Alan witnesses the kidnapper at the mercy of the mysterious old woman, confessing that he never actually had Alice. Alan and the kidnapper are then attacked by a dark tornado, which hurls Alan into Cauldron Lake. He awakens in the lodge overlooking Cauldron Lake under the care of Hartman, who claims that Alan is suffering a psychotic break, with the supernatural phenomena being fabrications of his imagination. Alan attempts to escape the lodge as the shadowy force starts to attack it, learning in the process that the fake kidnapper was employed by Hartman to lure Alan to him. Hartman tries to stop Alan from escaping, and gives the impression that he is aware of the supernatural events surrounding the lake. Barry helps Alan to escape the lodge before the shadow subsumes it and all those inside.  Alan and Barry gradually begin to learn the truth about Cauldron Lake from the other townsfolk. An entity known as the Dark Presence (taking the form of the old woman, Barbara Jagger) is trapped within the lake, attempting to escape by using the lake's power to turn fiction into reality. It had previously tried this with a poet named Thomas Zane – the figure in the diving suit – but Zane was able to resist its will and used his writings to cause the volcanic eruption that sank the island, stranding himself within the lake. The Dark Presence has grown strong enough to start to influence the townspeople and create the forces that have pursued Alan. That night, as Alan and Barry take shelter, they get drunk on moonshine, and Alan starts to recall memories of being forced to write Departure during the prior week, realizing that the Dark Presence is now trying to use his writings to escape, and is holding Alice within the lake in order to coerce him.  Alan and Barry are arrested by an FBI agent, but the Taken assault the police station and drag the agent away. Sarah, now convinced of the Dark Presence's existence, helps Alan and Barry reach Cynthia Weaver, a hermit who knew Thomas Zane and prepared countermeasures for the Dark Presence's return. She leads them to the ""Well-Lit Room,"" containing a light switch known as the Clicker, which, through the power of Alan's writings, possesses the narrative ability to destroy the Dark Presence. Alan returns to Cauldron Lake alone and dives in, finding himself in a surreal alternate dimension known as the Dark Place, where thoughts and ideas become reality. Alan encounters Jagger and destroys her with the Clicker; realizing he must maintain balance in the story, Alan completes Departure by freeing Alice, but strands himself in the Dark Place in the process. Finishing Departure, Alan writes the final line - ""It's not a lake, it's an ocean.""[8]  "
41,Alex Kidd in Miracle World DX,/wiki/Alex_Kidd_in_Miracle_World_DX," Alex Kidd in Miracle World is a 2D platform game. The player must finish levels and overcome obstacles and puzzles in both scrolling and single-screen environments. Throughout the 17 stages, Alex faces many monsters and the three henchmen of Janken the Great, before facing Janken himself.[2]  Alex's punching ability is used to destroy enemies and to break rocks in order to access new paths and to collect items such as money which can then be used to purchase other items including vehicles such as motorbikes and helicopters.[3] At the end of many stages, Alex plays jan-ken-pon (rock-paper-scissors) with one of Janken's henchmen. Alex dies with one hit, or by losing a game of rock, paper, scissors.  The game has no save system, but by holding the directional pad up and pressing the 2 button eight times at the Game Over screen, the player will restart the level with three new lives, at a cost of 400 Baums (the in-game currency).   A young martial artist named Alex Kidd learns of a villain named Janken the Great who has defeated King Thunder of the city of Radaxian and who has kidnapped his son, Prince Egle (or 'Igul'), and Egle's fiancée Princess Lora. Discovering that he is the lost son of King Thunder, Alex sets out to rescue the kingdom. On his quest, he defeats Janken's henchmen and retrieves various items which lead him toward Janken whom he defeats and sees turned to stone. Alex retrieves the crown, and the people of Radaxian are restored under the newly crowned King Egle.[4][5][6]  "
42,Alfred Hitchcock – Vertigo,/wiki/Alfred_Hitchcock_%E2%80%93_Vertigo," Alfred Hitchcock – Vertigo is an adventure game that takes place in a three-dimensional game world. The player controls three characters,[1] with a focus on solving mysteries tied to flashbacks.[2]   Vertigo tells the story of Ed Miller, a writer whose life is changed by a car wreck.[2] Although he is left mysteriously uninjured, he claims that his wife and daughter, both missing, were in the car with him.[1] Traumatized and experiencing intense vertigo, he enters therapy in an effort to learn what happened.[2]  "
44,Alien Isolation,/wiki/Alien_Isolation," Alien: Isolation is a single-player action-adventure game with an emphasis on stealth and survival horror. The player controls Amanda Ripley from a first-person perspective,[1][2] and must explore a space station and complete objectives while avoiding, outsmarting, and defeating enemies.[3] Objectives range from activating computers to collecting certain items or reaching a specific area. The player can run, climb ladders, sneak into vents, crouch behind objects to break the line of sight with enemies, and peek over or lean around for a safe view.[3] The player also has the ability to go under tables or inside empty lockers to hide from enemies.[3]  Amanda encounters various enemies throughout the station, including hostile human survivors and androids. The player can either eliminate them or avoid them using stealth or distractions.[3] The main antagonist, an Alien creature, pursues the player throughout. The Alien creature cannot be defeated, requiring the player to use stealth tactics in order to survive.[2] Instead of following a predetermined path, the Alien has the ability to actively investigate disturbances and hunt the player by sight or sound.[3] Along the way, the player can use both a flashlight and a motion tracker to detect the Alien's movements. However, using any of these increases the chance of the Alien finding the player. For example, if the Alien is close enough, it will be attracted by the tracker's sound, forcing the player to use the tracker wisely and remove it as soon as it detects motion.[3] The motion tracker cannot detect enemies when they are not moving and cannot determine if the alien creature is up in the ducts or on ground level.[3][4]  Although Amanda gains access to a revolver, a shotgun, a bolt gun, a flamethrower, and a stun baton over the course of the game,[5][6] Alien: Isolation emphasizes evasion over direct combat by providing limited ammunition.[2] The player can also craft useful items by collecting schematics and different materials. Items include EMP detonators, noisemakers, molotov cocktails, and pipe bombs; these can help the player deal with enemies.[5] For example, the noisemaker can be used to attract enemies in a particular direction. The Alien is afraid of fire, so using flame weapons forces it to retreat into the station's ventilation system. The player has a limited amount of health which decreases when attacked by enemies; health is restored with medkits, which can be crafted with materials in Amanda's inventory.[3]  The space station is divided into sections connected by trams and elevators. Some doors require certain actions before entry is allowed; for example, some require a keycard or entry codes, while others need to be hacked or cut open with welding torches.[4] Computer terminals and rewiring stations can be used to access information and trigger actions such as disabling security cameras or manipulating the space station's air-purification mechanism. [4] Shutting off the air-purification mechanism allows for a more stagnant air quality masking Amanda's scent making it harder for the Alien to track her, at the cost of a perpetual ""Dutch oven"" of any excreted gasses. An automap helps the player navigate the different areas.[7] To save game progress, the player needs to locate a terminal and insert Amanda's access card. If Amanda dies, the player will have to restart from the last saved point.[8] In addition to the campaign mode, Alien: Isolation features a special mode, called Survivor Mode, in which the player must complete objectives within a time limit on different challenge maps while being hunted by the Alien.[9]   In 2137, 15 years after the events of the original Alien film,[2] Amanda Ripley, daughter of Ellen Ripley, learns that the flight recorder of her mother's ship, the Nostromo, has been located. The flight recorder was retrieved by the salvage ship Anesidora, and is being held aboard Sevastopol, a Seegson Corporation space station orbiting gas giant KG-348 in the Zeta Reticuli star system. Christopher Samuels, a Weyland-Yutani android, offers Ripley a place on the retrieval team so that she can have closure regarding the fate of her missing mother.   Ripley, Samuels, and Weyland-Yutani executive Nina Taylor travel to Sevastopol via the Torrens, a courier ship, only to find the station damaged and external communications offline. While attempting to spacewalk into Sevastopol, their EVA line is severed by debris, and Ripley is separated from the others and forced to enter the station on her own. While exploring the station, Ripley finds the flight recorder of the Nostromo, but the data has been corrupted, and also discovers that the station is out of control due to a deadly Alien creature lurking aboard. After regrouping with Samuels and Taylor, Ripley meets the station's Marshal Waits and his deputy Ricardo. Waits explains that the alien was brought onto the station by Anesidora captain Henry Marlow, who, after recovering the Nostromo's flight recorder while salvaging its remains in space,  was able to backtrack the Nostromo's path to LV-426 and locate the derelict alien starship, containing within a nest of alien eggs. While inside, Marlow's wife was attacked by a Facehugger and brought aboard Sevastopol for emergency medical treatment, but died after a Chestburster hatched from her. Waits convinces Ripley to contain the Alien inside a remote module of the station, and then eject it into space. Although Ripley is successful, Waits ejects the module with her still inside. Careening into KG-348, Ripley space-jumps back to Sevastopol using a space suit.  Ripley makes her way back to confront Waits, but Ricardo reveals that the station's service androids have abruptly started slaughtering the remaining crew, including Waits. Samuels attempts to interface with the station's artificial intelligence, APOLLO, to cease the rampage. However, the systems' defensive countermeasures kill him shortly after he opens a path for Ripley into APOLLO's control core. There, Ripley discovers that Seegson had been trying to sell off Sevastopol to Weyland-Yutani, who instructed APOLLO to protect the Alien at all costs. Ripley tells APOLLO that the creature is no longer aboard the station and demands it cease all activity, but the system refuses, stating that ""scheduled reactor scans are unverified"". At the reactor, Ripley discovers a nest with hundreds of Aliens, and initiates a reactor purge to destroy it.   Later, Ripley learns that Taylor was secretly sent to retrieve the Alien from Sevastopol, and that she freed Marlow in exchange for the location of LV-426. However, Marlow double-crosses and takes her hostage aboard the Anesidora. There, Ripley finally discovers the Nostromo's flight recorder, containing a personal message to her from her mother, thus giving her closure. Meanwhile, Marlow attempts to overload the fusion reactor of the Anesidora to destroy Sevastopol and ensure that no creatures survive; Taylor kills him in an attempt to stop this, but she herself is killed by an electric discharge, forcing Ripley to escape shortly before the Anesidora explodes. The explosion destroys Sevastopol's orbital stabilizers, causing the station to slowly drift into KG-348's atmosphere. Ripley and Ricardo contact the Torrens for extraction, but a Facehugger latches on to Ricardo, forcing Ripley to leave him. After making her way outside to help the Torrens detach from the station, Ripley is surrounded by Alien creatures and ultimately thrown into the ship by a blast. Aboard the Torrens, Ripley discovers that another Alien has boarded the ship. When she is cornered in the airlock, she ejects herself and the Alien into space. Adrift in her space suit, Ripley is awakened by a searchlight.  "
45,The Alliance Alive HD Remastered,/wiki/The_Alliance_Alive_HD_Remastered," The Alliance Alive is a role-playing video game in which the player takes control of a group eventually numbering nine characters, navigating an unnamed fantasy world in a quest to free it from the control of otherworldly beings called Daemons.[1] Players explore a world map, first on foot and later using vehicles which can unlock previously inaccessible parts of the map. During the course of the story, the party unites human-staffed Guilds scattered across the land, based in Guild Towers which are either found on the world map or can be built by the player in select locations. There are five types of Guild Towers available, which grant different status buffs to the party, with the type of Guild Tower available to build depending on which characters have been recruited into the party. Guild Towers can communicate with each other during the course of the game using the Telegraph system, which allows Towers to gain experience levels and unlock new abilities.[2][3]  Enemy characters are represented within environments and on the world map as symbols, with battles triggering when the party runs into them. Multiple enemy parties can be tagged for a series of back-to-back battles. Battles are governed by a turn-based battle system within a themed battle arena. Characters are arranged in formations on a three-by-five grid, with different formations granting unique defensive and offensive abilities. Magic is only accessible to Daemon characters, although certain weapon types can access magic-like abilities for human characters such as healing. During combat, characters can enter an ""Ignition"" state once the Ignition gauge is filled from being attacked. Entering an Ignition state, which can rise in intensity based on current skills, attack power is increased at the cost of higher skill point consumption for special abilities. When in an Ignition state, a character can launch a special ""Final Strike"" attack which deals high damage. If a character in the same class as the attacker is next to them, they will ""Reinforce"" the Final Strike, creating a longer attack chain.[4][5]  Rather than a traditional experience point-based leveling system, character skills grow more powerful through ""Awakening"" when used often enough. Completing successive battles will increase a skill's growth.[4] Characters have access to five weapon types with differing strengths and weaknesses: Swords, Great Swords, Axes, Spears, Staffs, Bows, Shields, and Martial Arts. These weapon types can be equipped to any character, and have specific Awakening skills tied to them.[3] Triggering a battle near a Guild Tower enables Telegraph abilities which aid the party in battle, such as creating a shield or dealing a powerful attack to all enemies at the beginning of a battle.[2] A separate ""Talent"" system can be raised for each character using Talent Points earned after each battle. Assigning these points to Talents will increase a character attribute such as their ability to regain health or energy, their weapon skills, and status buffs during navigation of the world map.[6]  "
46,The Alto Collection,/wiki/The_Alto_Collection," Alto's Odyssey keeps the same basic gameplay of the original, being a side-scrolling endless runner based around snowboarding (now sandboarding). The player can jump by tapping the screen and do tricks by holding down on it. By doing tricks the player can increase their score which gets added to an online leaderboard at the end of their run. The sequel is set in a desert which features three ""biomes"" you can unlock that each focus on different mechanics.  In the beginning of the game, the player starts in the dunes, which features rolling hills and rocks for the player to avoid. Another biome is the canyons, which highlights the new wall riding mechanic, allowing the player to climb up the side of canyon walls by holding down on the screen. The final biome is the temples, which has vines which the player can ride on and waterfalls that can speed up the character. Later in the game it is possible to unlock a compass which allows the player to travel between biomes for a fixed cost in coins.[1]  The game adds new features, such as wall-riding, water mechanics, tornadoes, falling platforms, a new power up, and balloon bouncing; and mechanics returning from the first installment such as a day-night cycle, weather, and the wingsuit.[2][3] Like its predecessor, in addition to its original game mode, it also has a Zen mode, in which the player is invulnerable and can get up after hitting obstacles.  The game also retains the challenge system of the first game, where completing challenges allows the player to level up and unlock new characters. In Odyssey's ""Workshop"", the player can spend coins they collected in order to upgrade power-ups or unlock new abilities and features.[4]  "
48,Amnesia Collection,/wiki/Amnesia_Collection," Amnesia: The Dark Descent is a first-person adventure game with survival horror elements. The player takes control of Daniel, who must navigate Castle Brennenburg  while avoiding various dangers and solving puzzles. The gameplay retains the physical object interaction used in the Penumbra series, allowing for physics-based puzzles and interactions such as opening doors and fixing machinery.[3] Smaller items can be stored in an inventory menu, while larger objects can be raised by holding down a mouse button and pushing or pulling the mouse. Objects such as doors or levers can be manipulated by using the mouse in a fashion that imitates moving the said object. The game's difficulty level can be adjusted preceding its initiation, but cannot be readjusted once the game has begun.  In addition to a health indicator, Daniel's sanity must be managed, centered around an ""afraid of darkness"" mechanic. According to designer Thomas Grip, ""the idea was basically that the darkness itself should be an enemy.""[11] Sanity is reduced by staying in the dark for too long, witnessing unsettling events or looking directly at monsters. Low sanity causes visual and auditory hallucinations and an increased chance of attracting monsters, while its complete depletion results in a temporary drop in mobility, or death in higher difficulties. Light sources help restore sanity, and if none are available, Daniel may use tinderboxes to ignite candles and torches or deploy an oil-burning lantern. However, the number of tinderboxes and the amount of oil available are both limited, even more so in higher difficulties.  If a monster sees Daniel, it will chase him until he evades its sight. Daniel has no means of fighting monsters, so he must either avoid being seen or run away. Daniel can withstand only a few attacks from a monster before he dies, which will cause the most recent save of the game to load. The player can restore Daniel's health by using laudanum found throughout the game. The player can hinder monsters by closing doors and building barricades from nearby objects. However, monsters can destroy doors and knock over objects. Hiding in dark areas where monsters will not notice Daniel is also effective, but will decrease Daniel's sanity. In higher difficulties, the monsters will move faster, deal more damage and search for Daniel for longer periods of time.   On 19 August 1839, a young man awakens in the dark and empty halls of the Prussian Brennenburg Castle with no memory about himself or his past.[2] All he can remember is that his name is Daniel, that he lives in Mayfair, and that something or someone is hunting him.[12][13] Shortly after regaining consciousness, Daniel finds a note he wrote to himself, which informs him that he has deliberately erased his own memory and is being hunted by a ""Shadow"", an unearthly presence that manifests itself through fleshy, acidic growths spreading throughout the castle. The note instructs Daniel to descend into the Inner Sanctum of the castle in order to find and kill its baron, Alexander.  As he makes his way through the castle, Daniel gradually learns both about its mysteries and about his own past, through notes and diaries he finds as well as through sudden flashbacks and visions. The origin of his situation is a mysterious orb that he recovered from the Tin Hinan Tomb, which unleashed the Shadow. Each of the experts he contacted and consulted in person about the orb was later found gruesomely dismembered. Realizing that the Shadow was slowly stalking him, Daniel desperately exhausted all archaeological leads into strange orbs until contacted by Alexander, who promised a means of repelling the threat of the Shadow via a ""vitae"" energy, which could only be harvested from living creatures via extreme pain and terror. However, Alexander's true purpose is to use Daniel's vitae-enriched orb to return to his native dimension, from which he was banished centuries prior. To achieve this end, Alexander and Daniel gathered vitae by torturing innocent people that Alexander claimed to be murderous criminals.  To maximize the production of vitae, the victims were forced to consume a potion that induced amnesia, so that they could never grow accustomed to their torment. Unbeknownst to Daniel, application of vitae to the orb further enraged the Shadow in addition to briefly repelling it, sealing his eventual doom. Increasingly desperate to escape the Shadow, Daniel became sadistic in his attempts to harvest vitae, and accidentally killed an escaping prisoner, a young girl, in a fit of rage. Following the final ritual, Alexander sensed Daniel's guilt and declining faith in him and left him for dead as a result. Realizing how Alexander had manipulated him, Daniel swore revenge and swallowed an amnesia potion in order to overcome his paralyzing guilt.  As Daniel nears the Inner Sanctum, he encounters Heinrich Cornelius Agrippa, a man who had once studied the orbs with his student Johann Weyer and has since been kept alive and imprisoned by Alexander. He tells Daniel that Weyer has been able to harness the power of the orbs to travel between dimensions, and instructs him in finding the pieces of what used to be his own orb, which is needed to breach the Inner Sanctum. Agrippa also asks Daniel to take with him his head, which can be severed alive using a tonic invented by Weyer, and throw it into the inter-dimensional portal after Alexander opens it. Once Daniel enters the Inner Sanctum, there are three possible endings: he can let Alexander succeed, then be killed by the Shadow and descend into darkness, while Alexander tells him his sacrifice will be forever celebrated; he can prevent the portal from opening by knocking over its support columns, then leave the castle content with his redemption after the Shadow kills only Alexander; or he can throw Agrippa's head into the portal, which leaves the Shadow to kill both Alexander and Daniel, though Agrippa promises to save Daniel from descending into darkness, calling upon Weyer to help him.  "
50,Among Us,/wiki/Among_Us," Among Us is a multiplayer game for four to fifteen players (previously four to ten players), although recommended for at least five.[13] Up to three players are randomly[14] and secretly chosen to be the Impostor(s) each round. As of 2021, a round can take place on one of four maps: a spaceship called ""The Skeld""; a headquarters building called ""MIRA HQ""; a planet base called ""Polus"";[15] or an airship based on Innersloth's Henry Stickmin series called ""The Airship"".[16][17]  The Crewmates can win the game one of two ways; either by completing all assigned tasks or by ejecting all Impostors. Impostors can likewise win in two ways; either by killing or ejecting all Crewmates,[e] or by sabotaging a critical system on the map (provided the Crewmates do not resolve it in time).[15] Games can also end by players quitting the match if doing so fulfills any win condition (if a Crewmate quits the game, their tasks are automatically considered completed).[18][19][20]  At the start of the game, Crewmates are assigned ""tasks"" to complete around the map (in the form of minigames, minipuzzles, and simple toggles), mostly consisting of maintenance work on vital systems such as fixing wires and downloading data.[21] Impostors are given a fake list of suggested tasks to blend in with Crewmates. However, they cannot legitimately perform tasks and can only pretend to be doing any of the tasks on the ship. Impostors, however, can sabotage vital systems (such as The Skeld's oxygen supply), close the doors to rooms, quickly and covertly traverse ventilation ducts (commonly referred to as ""venting""), and kill Crewmates when standing near them. To help the Crewmates identify Impostors, there are various surveillance systems on each map, such as security cameras and an admin system on The Skeld,[22] a doorlog system with sensors in MIRA HQ,[23] and a vitals indicator in Polus that shows the living status of all players.[15] Crewmates may also confirm their identity through ""visual tasks"" (tasks that have animations which play for other players), which cannot be faked by Impostors.[24]  If a Crewmate is killed or any player is voted out and ejected, they become a ghost. Ghosts can pass through walls, watch other players' activities, and see and chat with other ghosts.[20] Living players have a limited cone of vision;[25] ghosts do not.[26] Moreover, ghosts cannot communicate with living players or be seen by them. Ghosts help their living teammates by completing their tasks (as a Crewmate) or performing various acts of sabotage (as an Impostor).[15]  Any living player may call a group meeting by reporting a dead body, or by pressing the Emergency Meeting button on the map at any time (except during major sabotages, when Emergency Meetings cannot be called, but dead bodies can still be reported).[20][27][28] During a meeting, players discuss who they believe is an Impostor based on the available evidence. Impostors can be identified beyond all reasonable doubt if they are seen venting or killing. A player may be suspected for many other reasons though. However, all the players form a sort of jury and must weigh the veracity or value of each other's statements and questions during the meeting. A plurality vote is held, and if a plurality is obtained, the player whom the most crewmates voted is ejected from the map and they become a ghost, unless the majority of the crewmates choose to skip vote or there is a tie vote.[21][20] Players can communicate in a built-in text chat (with some predefined phrases for phone users),[21] but only during meetings, and only if they are alive (though ghosts can speak with one another at any time).[15][20][25] While the game does not have a built-in voice chat system, it is common for players to use external programs such as Discord,[29][30][31] or to converse regularly if they are in close physical proximity to one another. In case players can hear each other's voices, the game reminds them to not speak except during meetings.  In November 2021, additional roles were made available to players extending beyond the standard Crewmate or Impostor roles. Crewmates can also be Engineers, Scientists, or Guardian Angels. Engineers can travel through vents like Impostors can, albeit to a limited capacity. Scientists can check vitals at any time to see if any player has been killed recently. Crewmates who become Ghosts can become Guardian Angels, which can temporarily protect living players from being killed. Impostors likewise can be Shapeshifters, allowing them to temporarily morph into other players.   In each game's lobby, various options can be adjusted to customize aspects of gameplay, such as player movement speed, the allowed number of emergency meetings, number of tasks, if there will be ""visual tasks"",[32] or whether or not an Impostor is revealed after being voted off.[33] There are also many cosmetic options, including spacesuit colors, skins, hats, and pets,[34][35] some of which are paid downloadable content.[f][5][7][25]  "
51,Ancestors Legacy,/wiki/Ancestors_Legacy," Ancestor's Legacy offers two game modes: a single-player campaign scenario or a multiplayer game, in which the player can choose to play one of four civilizations: Vikings, Anglo-Saxons, Teutons, or Slavs[3] (the Saladin's Conquest DLC adds a fifth civilization, the Saracens). The game features a day/night cycle which changes the way factions play.  "
52,Angels of Death,/wiki/Angels_of_Death_(video_game)," 13-year-old Rachel ""Ray"" Gardner is taken to a hospital for counseling after witnessing murder. However she wakes up to find herself on the basement Floor B7 instead with no memories apart from her name and the reason she came to the hospital. A series of mysterious broadcasts and scribbled messages on the wall set the scene as a game where each participant is designated a floor of their own, and anyone who trespasses on another participant's floor has the chance to be killed. Ray, ignorant of the details, is almost killed by serial killer Isaac ""Zack"" Foster, the owner of Floor B6, and captured by Daniel ""Danny"" Dickens, the owner of Floor B5 and the doctor who examined her. Danny, who has a maniacal obsession with eyes, desires Rachel's blue, once-blank eyes. During this time, Ray recovers her memory during the night when the murder occurred, just as Zack kills Danny for her, but spares Ray after losing interest in her lack of emotions. As Zack has killed someone that was not on his floor, the broadcast designates him as a ""sacrifice"" along with Ray, where they can freely be killed by any floor master. The two, now in the same situation, form an alliance where Zack can use her intelligence to escape, and upon doing so will fulfill Ray's desire to be killed by him.  Ray and Zack continue to go to the upper floors to find a way out, defeating the two other floor masters, Edward ""Eddie"" Mason at B4, a young boy with an unhealthy obsession with graves, and Catherine ""Cathy"" Ward at B3, a sadomasochistic former jail guard, in the process. When Zack gets injured during the fight against Cathy, Ray encounters a reverend, Abraham Gray, at B2 who reveals himself to be the one who designed the game in order to figure out the definition of ""religious faith"" in people's hearts, appointing the various floor masters as ""angels"" that are not afraid to kill without hesitation. Although Gray lets Ray return to B5 to get medicine, she must pass through a trial to determine her identity before she can proceed to the next floor. Meanwhile, back on B2, Zack discovers that Danny is still alive, the latter having faked his death. Ray is forced to confront her selfishness in the trial but survives through it to save Zack, convincing herself that he is her God.  When the duo arrives at B1 though, they come to a house filled with fake flowers and the stitched corpses of a couple, driving Ray hysterical and desperate for Zack to kill her immediately. Danny then tricks Zack into leaving Ray alone in the room and locking it up, forcing Zack to search the floor in order to discover the truth about Ray. With help from Gray, Zack discovers that Ray suffered in the midst of her parents' terrible relationship, and subsequently both were killed, with her father killing her mother, and Ray shooting her father. After this, she stitched their corpses together to form her new ""perfect family"". While counseling her at the hospital, Danny took an interest in her blank blue eyes and used his authority as an ""angel"" to bring her to B1, making her the final floor master. However, after discovering a bible, Ray suddenly found herself unable to cope with the realization and guilt of what she had done, believing that no one would accept her after what she did, so she developed suicidal ideations and erased her memory, causing Danny to send her to B7 with the hopes that she would return to her ""original self"". As Zack finds out the truth, Ray, coming to the realization that Zack won't become the God she desires, shoots Danny and attempts to kill Zack by leading him around the traps of her floor, but he helps her to come to terms with her actions and both renew their oath.  Just as they reach the exit, Danny activates the self-destruct sequence of the building and critically shoots Ray. However, before he can kill Ray and Zack, Gray, having completed his experiment, appears and kills Danny, allowing Zack and Ray to escape just as the building burns down. The police then promptly arrive and Zack lets himself be arrested to save Ray's life as paramedics took her away. After recovering, Ray is taken to a Rehabilitation Center due to her apparent delirium and attachment to Zack. An unspecified amount of time has passed, presumably weeks to a few months after the incident, Zack is sentenced to death.  One night, as Ray prepares to spend the night without sleeping, however, Zack somehow escaped prison and breach the Rehabilitation Center to pick up Ray. Realizing that Zack is still intent on keeping the promise between them, Ray once again implores Zack to kill her as they escape. By the time Ray's caretaker and the police break through the door, Ray and Zack have disappeared, leaving only Zack's knife behind beneath the windowsill.  "
